adm1,adm2,adm3,hf,community,school_name
Bonthe District,Bonthe District Council,Yawbeko Chiefdom,Sargor CHP,,
Bonthe District,Bonthe District Council,Yawbeko Chiefdom,Senehun Gbloh MCHP,,
Bonthe District,Bonthe District Council,Yawbeko Chiefdom,Talia (Yawbeko) CHC,,
Bonthe District,Bonthe District Council,Yawbeko Chiefdom,Tuakan CHP,,
Bonthe District,Bonthe Municipal Council,Bonthe Town,Bonthe Government Hospital,,
Bonthe District,Bonthe Municipal Council,Bonthe Town,Bonthe Under Fives Clinic,,
Bonthe District,Bonthe Municipal Council,Bonthe Town,Red Cross (Bonthe) CHP,,
Bonthe District,Bonthe Municipal Council,Bonthe Town,St Joseph's Clinic,,
Bonthe District,Bonthe Municipal Council,Bonthe Town,York Island CHP,,
Falaba District,Falaba District Council,Barawa Wollay Chiefdom,Banadakafaia CHP,,
Falaba District,Falaba District Council,Barawa Wollay Chiefdom,Bandakoro MCHP,,
Falaba District,Falaba District Council,Barawa Wollay Chiefdom,Firawa CHC,,
Falaba District,Falaba District Council,Barawa Wollay Chiefdom,Konombaia CHP,,
Falaba District,Falaba District Council,Barawa Wollay Chiefdom,Kulanko MCHP,,
Falaba District,Falaba District Council,Delmandugu Chiefdom,Deldu Kamaron MCHP,,
Falaba District,Falaba District Council,Delmandugu Chiefdom,Mansadu CHC,,
Falaba District,Falaba District Council,Delmandugu Chiefdom,Masadu CHC,,
Falaba District,Falaba District Council,Delmandugu Chiefdom,Mongo Kamaron CHP,,
Falaba District,Falaba District Council,Delmandugu Chiefdom,Seremudu MCHP,,
Falaba District,Falaba District Council,Delmandugu Chiefdom,Tambalia Balia MCHP,,
Falaba District,Falaba District Council,Dembelia-Sinkunia Chiefdom,Fullamansa MCHP,,
Falaba District,Falaba District Council,Dembelia-Sinkunia Chiefdom,Gbindi CHP,,
Falaba District,Falaba District Council,Dembelia-Sinkunia Chiefdom,Manna MCHP,,
Falaba District,Falaba District Council,Dembelia-Sinkunia Chiefdom,Sinkunia CHC,,
Falaba District,Falaba District Council,Folosaba Dembelia Chiefdom,Dogoloya CHP,,
Falaba District,Falaba District Council,Folosaba Dembelia Chiefdom,Koromasilaia MCHP,,
Falaba District,Falaba District Council,Folosaba Dembelia Chiefdom,Largo MCHP,,
Falaba District,Falaba District Council,Folosaba Dembelia Chiefdom,Musaia (Dembelia) CHC,,
Falaba District,Falaba District Council,Folosaba Kamba Chiefdom,Gbentu CHC,,
Falaba District,Falaba District Council,Folosaba Kamba Chiefdom,Hamdalia MCHP,,
Falaba District,Falaba District Council,Folosaba Kamba Chiefdom,Kalia MCHP,,
Falaba District,Falaba District Council,Folosaba Kamba Chiefdom,Kamba Mamudia CHP,,
Falaba District,Falaba District Council,Kabelia Chiefdom,Ganya CHP,,
Falaba District,Falaba District Council,Kamadugu Yiraia Chiefdom,Dankawalie CHC,,
Falaba District,Falaba District Council,Kamadugu Yiraia Chiefdom,Kamadu Badala MCHP,,
Falaba District,Falaba District Council,Kamadugu Yiraia Chiefdom,Kamadu Sokuralla CHP,,
Falaba District,Falaba District Council,Kamadugu Yiraia Chiefdom,Yiraia CHP,,
Falaba District,Falaba District Council,Kulor Saradu Chiefdom,Bandapirie CHP,,
Falaba District,Falaba District Council,Kulor Saradu Chiefdom,Durukoro MCHP,,
Falaba District,Falaba District Council,Kulor Saradu Chiefdom,Kulia CHP,,
Falaba District,Falaba District Council,Kulor Saradu Chiefdom,Yarawadu MCHP,,
Falaba District,Falaba District Council,Mongo Chiefdom,Mongo Bendugu CHC,,
Falaba District,Falaba District Council,Mongo Chiefdom,Mongo Karifaia MCHP,,
Falaba District,Falaba District Council,Mongo Chiefdom,Seria CHP,,
Falaba District,Falaba District Council,Mongo Chiefdom,Walia MCHP,,
Falaba District,Falaba District Council,Morifindu Chiefdom,Gberefeh MCHP,,
Falaba District,Falaba District Council,Morifindu Chiefdom,Kombili CHP,,
Falaba District,Falaba District Council,Morifindu Chiefdom,Serekolia CHC,,
Falaba District,Falaba District Council,Morifindu Chiefdom,Tubah MCHP,,
Falaba District,Falaba District Council,Neya Chiefdom,Banboria MCHP,,
Falaba District,Falaba District Council,Neya Chiefdom,Kurubonla CHC,,
Falaba District,Falaba District Council,Neya Chiefdom,Mansofinia CHP,,
Falaba District,Falaba District Council,Neya Chiefdom,Porpon MCHP,,
Falaba District,Falaba District Council,Nyedu Chiefdom,Bumbukoro CHC,,
Falaba District,Falaba District Council,Nyedu Chiefdom,Masonia MCHP,,
Falaba District,Falaba District Council,Sulima Chiefdom,Falaba CHC,,
Falaba District,Falaba District Council,Sulima Chiefdom,Gberia Timbakor CHP,,
Falaba District,Falaba District Council,Sulima Chiefdom,Kaliyereh MCHP,,
Falaba District,Falaba District Council,Sulima Chiefdom,Koindu Kura CHP,,
Falaba District,Falaba District Council,Sulima Chiefdom,Sonkoya MCHP,,
Kailahun District,Kailahun District Council,Dea Chiefdom,Baiwala CHP,,
Kailahun District,Kailahun District Council,Dea Chiefdom,Nagbena CHP,,
Kailahun District,Kailahun District Council,Dea Chiefdom,Sienga CHP,,
Kailahun District,Kailahun District Council,Jahn Chiefdom,Gbeika CHP,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,Bombohun MCHP,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,Daru CHC,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,Kambama CHP,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,Kortuma MCHP,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,Mamabu CHP,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,Njala-Grima CHP,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,Nyeama CHP,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,Pellie CHP,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,Pewama CHP,,
Kailahun District,Kailahun District Council,Jawei Chiefdom,SWAKAB (Jawei) Clinic,,
Kailahun District,Kailahun District Council,Kissi Kama Chiefdom,Dia CHC,,
Kailahun District,Kailahun District Council,Kissi Kama Chiefdom,Foidu CHP,,
Kailahun District,Kailahun District Council,Kissi Teng Chiefdom,Bayama (Kissi Teng) CHP,,
Kailahun District,Kailahun District Council,Kissi Teng Chiefdom,Kangama (Kissi Teng) CHP,,
Kailahun District,Kailahun District Council,Kissi Teng Chiefdom,Koindu CHC,,
Kailahun District,Kailahun District Council,Kissi Tongi Chiefdom,Buedu CHC,,
Kailahun District,Kailahun District Council,Kissi Tongi Chiefdom,Dawa CHP,,
Kailahun District,Kailahun District Council,Kissi Tongi Chiefdom,Gbandiwulo CHP,,
Kailahun District,Kailahun District Council,Kissi Tongi Chiefdom,Madopolahun CHP,,
Kailahun District,Kailahun District Council,Kissi Tongi Chiefdom,Sandia (Kissi Tongi) MCHP,,
Kailahun District,Kailahun District Council,Kissi Tongi Chiefdom,Voahun CHP,,
Kailahun District,Kailahun District Council,Kissi Tongi Chiefdom,Weh CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Bandajuma Sinneh MCHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Baoma (Luawa) CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Dodo-Kortuma CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Gbalahun CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Gbeworbu Gao CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Giema (Luawa) CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Jengbellu CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Kailahun Government Hospital,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Konjo (Luawa) CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Kpandebu (Luawa) MCHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Luawa Under Fives CHC,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Madina (Luawa) MCHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Mano-Sewalu CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Marie Stopes (Luawa) Clinic,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Mende Buima MCHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Morfindor CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Ngiehun (Luawa) CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Nyandehun (Luawa) CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Sandeyallu CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Sengema (Luawa) CHP,,
Kailahun District,Kailahun District Council,Luawa Chiefdom,Talia (Luawa) MCHP,,
Kailahun District,Kailahun District Council,Malema Chiefdom,Bumpeh (Malema) CHP,,
Kailahun District,Kailahun District Council,Malema Chiefdom,Fobu CHP,,
Kailahun District,Kailahun District Council,Malema Chiefdom,Jojoima CHC,,
Kailahun District,Kailahun District Council,Malema Chiefdom,Madina (Malema) CHP,,
Kailahun District,Kailahun District Council,Malema Chiefdom,Njama (Malema) MCHP,,
Kailahun District,Kailahun District Council,Mandu Chiefdom,Baiima CHP,,
Kailahun District,Kailahun District Council,Mandu Chiefdom,Levuma (Mandu) CHP,,
Kailahun District,Kailahun District Council,Mandu Chiefdom,Mobai CHC,,
Kailahun District,Kailahun District Council,Mandu Chiefdom,Yoyah CHP,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Bandajuma Kpolihun CHP,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Dambu CHC,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Daru Field Hospital Clinic,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Follah MCHP,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Laleihun (Njaluahun) CHP,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Mano-Menima CHP,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Niahun Gbuyama CHP,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Nixon Hospital,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Nixon Under Fives CHC,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Njaluahun Military Hospital,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Nyandehun Nguvoihun CHP,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Pendembu-Njeigbla CHP,,
Kailahun District,Kailahun District Council,Njaluahun Chiefdom,Segbwema (Njaluahun) MCHP,,
Kailahun District,Kailahun District Council,Peje Bongre Chiefdom,Gbahama (Peje Bongre) CHP,,
Kailahun District,Kailahun District Council,Peje Bongre Chiefdom,Grima MCHP,,
Kailahun District,Kailahun District Council,Peje Bongre Chiefdom,Mamboma (Peje Bongre) CHP,,
Kailahun District,Kailahun District Council,Peje Bongre Chiefdom,Manowa CHC,,
Kailahun District,Kailahun District Council,Peje Bongre Chiefdom,Ngolahun MCHP,,
Kailahun District,Kailahun District Council,Peje Bongre Chiefdom,Pujehun (Peje Bongre) CHP,,
Kailahun District,Kailahun District Council,Peje West Chiefdom,Bunumbu CHC,,
Kailahun District,Kailahun District Council,Peje West Chiefdom,El-Shaddai (Peje West) Clinic,,
Kailahun District,Kailahun District Council,Peje West Chiefdom,Jokibu CHP,,
Kailahun District,Kailahun District Council,Peje West Chiefdom,Peje Baoma CHP,,
Kailahun District,Kailahun District Council,Peje West Chiefdom,Pejewa (Peje West) CHP,,
Kailahun District,Kailahun District Council,Penguia Chiefdom,Kono-Bendu CHP,,
Kailahun District,Kailahun District Council,Penguia Chiefdom,Lalehun CHP,,
Kailahun District,Kailahun District Council,Penguia Chiefdom,Sandaru (Penguia) CHC,,
Kailahun District,Kailahun District Council,Penguia Chiefdom,Woroma CHP,,
Kailahun District,Kailahun District Council,Upper Bambara Chiefdom,Bomaru CHP,,
Kailahun District,Kailahun District Council,Upper Bambara Chiefdom,Hand Maid Clinic,,
Kailahun District,Kailahun District Council,Upper Bambara Chiefdom,Jenneh MCHP,,
Kailahun District,Kailahun District Council,Upper Bambara Chiefdom,Mendekelema (Upper Bambara) CHP,,
Kailahun District,Kailahun District Council,Upper Bambara Chiefdom,Pendembu (Upper Bambara) CHC,,
Kailahun District,Kailahun District Council,Upper Bambara Chiefdom,Siama (Upper Bambara) CHP,,
Kailahun District,Kailahun District Council,Yawei Chiefdom,Bandajuma CHC,,
Kailahun District,Kailahun District Council,Yawei Chiefdom,Bendu CHP,,
Kailahun District,Kailahun District Council,Yawei Chiefdom,Kwellu-Ngieya CHP,,
Kailahun District,Kailahun District Council,Yawei Chiefdom,Macca CHP,,
Kailahun District,Kailahun District Council,Yawei Chiefdom,Malema (Yawei) CHP,,
Kailahun District,Kailahun District Council,Yawei Chiefdom,Massayeima CHP,,
Kambia District,Kambia District Council,Bramaia Chiefdom,Gbolon MCHP,,
Kambia District,Kambia District Council,Bramaia Chiefdom,Kanku Bramaia MCHP,,
Kambia District,Kambia District Council,Bramaia Chiefdom,Kukuna CHC,,
Kambia District,Kambia District Council,Bramaia Chiefdom,Shekaia MCHP,,
Kambia District,Kambia District Council,Dixon Chiefdom,Fodaya MCHP,,
Kambia District,Kambia District Council,Dixon Chiefdom,Mafaray CHP,,
Kambia District,Kambia District Council,Gbinleh Chiefdom,Gbalamuya CHC,,
Kambia District,Kambia District Council,Gbinleh Chiefdom,Madamaya Good Grace Clinic,,
Kambia District,Kambia District Council,Gbinleh Chiefdom,Magbengbeh MCHP,,
Kambia District,Kambia District Council,Gbinleh Chiefdom,Tawuya MCHP,,
Kambia District,Kambia District Council,Gbinleh Chiefdom,Worreh MCHP,,
Kambia District,Kambia District Council,Konimaka Chiefdom,Barakuya MCHP,,
Kambia District,Kambia District Council,Konimaka Chiefdom,Konta (Bramaia) CHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Ahmadiyya Mission Clinic,,
Kambia District,Kambia District Council,Magbema Chiefdom,Arab (Magbema) Clinic,,
Kambia District,Kambia District Council,Magbema Chiefdom,Barmoi Luma CHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Dibia CHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Gbonkomaria CHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Kamba MCHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Kambia Government Hospital,,
Kambia District,Kambia District Council,Magbema Chiefdom,Magbema Under Fives Clinic,,
Kambia District,Kambia District Council,Magbema Chiefdom,Magbethy MCHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Mathuraneh MCHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Menicurve MCHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Mile 18 MCHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Modia MCHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Red Cross (Magbema) CHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Rokupr CHC,,
Kambia District,Kambia District Council,Magbema Chiefdom,Senthai MCHP,,
Kambia District,Kambia District Council,Magbema Chiefdom,Wullah Thenkle MCHP,,
Kambia District,Kambia District Council,Mambolo Chiefdom,Kalainkay MCHP,,
Kambia District,Kambia District Council,Mambolo Chiefdom,Macoth MCHP,,
Kambia District,Kambia District Council,Mambolo Chiefdom,Mambolo (Kambia) CHC,,
Kambia District,Kambia District Council,Mambolo Chiefdom,Mayakie MCHP,,
Kambia District,Kambia District Council,Mambolo Chiefdom,Rokel (Mambolo) MCHP,,
Kambia District,Kambia District Council,Mambolo Chiefdom,Romando MCHP,,
Kambia District,Kambia District Council,Mambolo Chiefdom,Rotain Bana CHP,,
Kambia District,Kambia District Council,Mambolo Chiefdom,Tombo Wallah CHP,,
Kambia District,Kambia District Council,Masumgbala Chiefdom,Kania CHC,,
Kambia District,Kambia District Council,Masumgbala Chiefdom,Kawula CHC,,
Kambia District,Kambia District Council,Munu Thalla Chiefdom,Banka Makuloh MCHP,,
Kambia District,Kambia District Council,Munu Thalla Chiefdom,Barmoi Munu CHC,,
Kambia District,Kambia District Council,Munu Thalla Chiefdom,Gbalan Thallan MCHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Bapuya CHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Kangbor MCHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Kassirie CHC,,
Kambia District,Kambia District Council,Samu Chiefdom,Kortimoh MCHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Koya (Samu) MCHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Kychom CHC,,
Kambia District,Kambia District Council,Samu Chiefdom,Mafufuneh CHC,,
Kambia District,Kambia District Council,Samu Chiefdom,Mange Bissan MCHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Mapotolon CHC,,
Kambia District,Kambia District Council,Samu Chiefdom,Moribaya MCHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Rokai MCHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Rosinor CHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Soriebolomia MCHP,,
Kambia District,Kambia District Council,Samu Chiefdom,Yelieboya CHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Bubuya MCHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Kamagbewu MCHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Kamassasa CHC,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Kamawala MCHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Kasoria CHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Katherie MCHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Layia Gboray CHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Madina (Tonko Limba) CHC,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Madina Wesleyan Clinic,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Masaralie MCHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Masselleh CHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Masunthun CHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Mile 14 CHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Numea CHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Samaia MCHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Sellah Kafta MCHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Timbo MCHP,,
Kambia District,Kambia District Council,Tonko Limba Chiefdom,Yebaya MCHP,,
Karene District,Karene District Council,Buya Chiefdom,Kamasondo CHC,,
Karene District,Karene District Council,Buya Chiefdom,Manumtheneh MCHP,,
Karene District,Karene District Council,Buya Chiefdom,Masamboi MCHP,,
Karene District,Karene District Council,Buya Chiefdom,Rosint Buya MCHP,,
Karene District,Karene District Council,Dibia Chiefdom,Gbinti CHC,,
Karene District,Karene District Council,Dibia Chiefdom,Gbombana MCHP,,
Karene District,Karene District Council,Dibia Chiefdom,Magborognor MCHP,,
Karene District,Karene District Council,Dibia Chiefdom,Roctolon MCHP,,
Karene District,Karene District Council,Dibia Chiefdom,Rogballan (Dibia) CHP,,
Karene District,Karene District Council,Gbanti (Karene) Chiefdom,Borongoh Makarankay MCHP,,
Karene District,Karene District Council,Gbanti (Karene) Chiefdom,Gbainkfay MCHP,,
Karene District,Karene District Council,Gbanti (Karene) Chiefdom,Gbanti CHP,,
Karene District,Karene District Council,Gbanti (Karene) Chiefdom,Gbinti Maria MCHP,,
Karene District,Karene District Council,Gbanti (Karene) Chiefdom,Gbonkobana MCHP,,
Karene District,Karene District Council,Gbanti (Karene) Chiefdom,Kambia CHP,,
Karene District,Karene District Council,Gormbahun Chiefdom,BatKanu CHC,,
Karene District,Karene District Council,Gormbahun Chiefdom,Kiamunday MCHP,,
Karene District,Karene District Council,Gormbahun Chiefdom,Magbaingba MCHP,,
Karene District,Karene District Council,Gormbahun Chiefdom,Matoto MCHP,,
Karene District,Karene District Council,Mafonda Makerembay Chiefdom,Gbonkonka MCHP,,
Karene District,Karene District Council,Mafonda Makerembay Chiefdom,Rochain Loko CHP,,
Karene District,Karene District Council,Romende Chiefdom,Foredugu MCHP,,
Karene District,Karene District Council,Romende Chiefdom,Gbomsamba MCHP,,
Karene District,Karene District Council,Romende Chiefdom,Mabureh Mende MCHP,,
Karene District,Karene District Council,Romende Chiefdom,Rokamba MCHP,,
Karene District,Karene District Council,Romende Chiefdom,Worreh Bana MCHP,,
Karene District,Karene District Council,Safroko Chiefdom,Maron CHP,,
Karene District,Karene District Council,Sanda Loko Chiefdom,Kamalo CHC,,
Karene District,Karene District Council,Sanda Loko Chiefdom,Laiya MCHP,,
Karene District,Karene District Council,Sanda Loko Chiefdom,Laminaya CHP,,
Karene District,Karene District Council,Sanda Loko Chiefdom,Madina Fullah MCHP,,
Karene District,Karene District Council,Sanda Loko Chiefdom,Maharibo CHP,,
Karene District,Karene District Council,Sanda Loko Chiefdom,Marcorba Loko MCHP,,
Karene District,Karene District Council,Sanda Loko Chiefdom,Mayolla CHP,,
Karene District,Karene District Council,Sanda Loko Chiefdom,Rochain Salcost CHP,,
Karene District,Karene District Council,Sanda Loko Chiefdom,Rothatha MCHP,,
Karene District,Karene District Council,Sanda Magbolonthor Chiefdom,Gbogbodo MCHP,,
Karene District,Karene District Council,Sanda Magbolonthor Chiefdom,Kantia MCHP,,
Karene District,Karene District Council,Sanda Magbolonthor Chiefdom,Komneh CHP,,
Karene District,Karene District Council,Sanda Magbolonthor Chiefdom,Magbolonthor MCHP,,
Karene District,Karene District Council,Sanda Magbolonthor Chiefdom,Sendugu CHC,,
Karene District,Karene District Council,Sanda Tendaren Chiefdom,Mabunduka CHC,,
Karene District,Karene District Council,Sanda Tendaren Chiefdom,Malontho MCHP,,
Karene District,Karene District Council,Sanda Tendaren Chiefdom,Manack MCHP,,
Karene District,Karene District Council,Sanda Tendaren Chiefdom,Mateboi CHC,,
Karene District,Karene District Council,Sanda Tendaren Chiefdom,Rogbin MCHP,,
Karene District,Karene District Council,Sanda Tendaren Chiefdom,Rokulan CHC,,
Karene District,Karene District Council,Sanda Tendaren Chiefdom,Royanka Lol CHP,,
Karene District,Karene District Council,Sella Limba Chiefdom,Kabba Ferry CHP,,
Karene District,Karene District Council,Sella Limba Chiefdom,Kagboray MCHP,,
Karene District,Karene District Council,Sella Limba Chiefdom,Kamabaio MCHP,,
Karene District,Karene District Council,Sella Limba Chiefdom,Kamakwie CHP,,
Karene District,Karene District Council,Sella Limba Chiefdom,Kamakwie Wesleyan Hospital,,
Karene District,Karene District Council,Sella Limba Chiefdom,Kamawornie MCHP,,
Karene District,Karene District Council,Sella Limba Chiefdom,Kaponkie MCHP,,
Karene District,Karene District Council,Sella Limba Chiefdom,Kathanta Yimbor CHC,,
Karene District,Karene District Council,Sella Limba Chiefdom,Masankorie CHP,,
Karene District,Karene District Council,Tambaka Simibungie Chiefdom,Komoya CHP,,
Karene District,Karene District Council,Tambaka Simibungie Chiefdom,Samaya MCHP,,
Karene District,Karene District Council,Tambaka Yobangie Chiefdom,Dombaya CHP,,
Karene District,Karene District Council,Tambaka Yobangie Chiefdom,Fintonia CHC,,
Karene District,Karene District Council,Tambaka Yobangie Chiefdom,Sanya MCHP,,
Kenema District,Kenema City Council,Kenema City,African Muslim Agency Clinic,,
Kenema District,Kenema City Council,Kenema City,Ahmadiyya Muslim (Nongowa) Hospital,,
Kenema District,Kenema City Council,Kenema City,BL Services Clinic,,
Kenema District,Kenema City Council,Kenema City,Burma 2 MCHP,,
Kenema District,Kenema City Council,Kenema City,Degbuama MCHP,,
Kenema District,Kenema City Council,Kenema City,Direct Aid Orphanage (Kenema City) Clinic,,
Kenema District,Kenema City Council,Kenema City,Egyptian (Kenema City) Clinic,,
Kenema District,Kenema City Council,Kenema City,Ensah Foundation Clinic,,
Kenema District,Kenema City Council,Kenema City,Friends For Lives Clinic,,
Kenema District,Kenema City Council,Kenema City,Gbo-Kakajama 1 MCHP,,
Kenema District,Kenema City Council,Kenema City,Gbo-Kakajama 2 MCHP,,
Kenema District,Kenema City Council,Kenema City,Gbo-Lambayama 1 CHC,,
Kenema District,Kenema City Council,Kenema City,Gbo-Lambayama 2 MCHP,,
Kenema District,Kenema City Council,Kenema City,Kenema City Military Clinic,,
Kenema District,Kenema City Council,Kenema City,Kenema Government Hospital,,
Kenema District,Kenema City Council,Kenema City,Kenema Under Fives CHP,,
Kenema District,Kenema City Council,Kenema City,Kondebotihun MCHP,,
Kenema District,Kenema City Council,Kenema City,Koyagbema MCHP,,
Kenema District,Kenema City Council,Kenema City,Kpayama 1 MCHP,,
Kenema District,Kenema City Council,Kenema City,Kpayama 2 MCHP,,
Kenema District,Kenema City Council,Kenema City,Kpetema (Kenema City) CHC,,
Kenema District,Kenema City Council,Kenema City,Lango Town MCHP,,
Kenema District,Kenema City Council,Kenema City,Malian Friendship Hospital,,
Kenema District,Kenema City Council,Kenema City,Marie Stopes (Kenema City) Clinic,,
Kenema District,Kenema City Council,Kenema City,Nongowa Static MCHP,,
Kenema District,Kenema City Council,Kenema City,Nyandeyama MCHP,,
Kenema District,Kenema City Council,Kenema City,Rainbow Clinic,,
Kenema District,Kenema City Council,Kenema City,Red Cross (Kenema City) CHP,,
Kenema District,Kenema City Council,Kenema City,Samai Town CHC,,
Kenema District,Kenema City Council,Kenema City,Torkpombu MCHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Diamei MCHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Gao MCHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Giema (Dama) CHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Konia (Dama) MCHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Konjo (Dama) CHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Kpandebu CHC,,
Kenema District,Kenema District Council,Dama Chiefdom,Lileima MCHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Loppa CHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Majihun MCHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Patama MCHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Tawahun MCHP,,
Kenema District,Kenema District Council,Dama Chiefdom,Tokpombu (Dama) CHP,,
Kenema District,Kenema District Council,Dodo Chiefdom,Dodo CHC,,
Kenema District,Kenema District Council,Dodo Chiefdom,Guala MCHP,,
Kenema District,Kenema District Council,Dodo Chiefdom,Kundorma CHP,,
Kenema District,Kenema District Council,Dodo Chiefdom,Mbowohun CHP,,
Kenema District,Kenema District Council,Gaura Chiefdom,Joru CHC,,
Kenema District,Kenema District Council,Gaura Chiefdom,Kokoru CHP,,
Kenema District,Kenema District Council,Gaura Chiefdom,Mendekelema (Gaura) CHP,,
Kenema District,Kenema District Council,Gaura Chiefdom,Perrie MCHP,,
Kenema District,Kenema District Council,Gaura Chiefdom,Sandaru (Gaura) MCHP,,
Kenema District,Kenema District Council,Gaura Chiefdom,Sembehun (Gaura) MCHP,,
Kenema District,Kenema District Council,Gaura Chiefdom,Tikonko (Gaura) MCHP,,
Kenema District,Kenema District Council,Gaura Chiefdom,Venima CHP,,
Kenema District,Kenema District Council,Gorama Mende Chiefdom,Bambara Kaima CHP,,
Kenema District,Kenema District Council,Gorama Mende Chiefdom,Fomaya CHP,,
Kenema District,Kenema District Council,Gorama Mende Chiefdom,Konta (Gorama Mende) CHP,,
Kenema District,Kenema District Council,Gorama Mende Chiefdom,Kortuhun (Gorama Mende) MCHP,,
Kenema District,Kenema District Council,Gorama Mende Chiefdom,Mondema CHC,,
